trace	step	action	arg1	arg2	arg3	arg4	arg5	arg6	revision	selected	focused	panX	panY	zoom	captured	objectAAvailable	objectBAvailable	outcome
14	10	FocusPrevious	0	0	0	0	0	0	0	0	2	1	-1	1	-1	true	true	0
14	11	CapturePointer	0	2	0	0	0	0	0	0	2	1	-1	1	2	true	true	0
14	12	ReleasePointer	1	2	0	0	0	0	0	0	2	1	-1	1	2	true	true	1
15	1	ReleasePointer	0	1	0	0	0	0	0	0	0	0	0	1	-1	true	true	5
15	2	ClearSelection	0	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	0
15	3	Select	0	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	2
15	4	FocusNext	0	0	0	0	0	0	0	0	1	0	0	1	-1	true	true	0
15	5	ReplaceDocument	1	3	1	1	0	0	0	0	1	0	0	1	-1	true	true	1
15	6	ReplaceDocument	2	3	1	1	0	0	0	0	1	0	0	1	-1	true	true	1
15	7	FocusPrevious	0	0	0	0	0	0	0	0	2	0	0	1	-1	true	true	0
15	8	FocusNext	1	0	0	0	0	0	0	0	2	0	0	1	-1	true	true	1
15	9	FocusNext	1	0	0	0	0	0	0	0	2	0	0	1	-1	true	true	1
15	10	FocusPrevious	2	0	0	0	0	0	0	0	2	0	0	1	-1	true	true	1
15	11	CapturePointer	2	2	0	0	0	0	0	0	2	0	0	1	-1	true	true	1
15	12	SetCamera	2	1	-1	2	0	0	0	0	2	0	0	1	-1	true	true	1
